title,time,fake or real
هذا المقطع يظهر عملاً فنياً وليس كتابًا باسم “Morisa” غلافه مصنوع من جلد إنسان,29 مارس 2024,fake
هذا المقطع معدّل، ولا يبين شابًا يصفع دونالد ترامب بعد سخريته من أكراد مؤخراً,20 مارس 2024,fake
هذا المقطع معدل رقميًا وغير حقيقي، ولا يبين شعاع ليزر تسبب في حرائق غابات ولاية تكساس الأمريكية مؤخرًا,10 مارس 2024,fake
هذا المقطع يظهر عثور غواص على صندوق يحتوي رفات بشرية وليس نسخة قديمة من القرآن,24 فبراير 2024,fake
هذا الفيديو معدل رقميًّا، ولا صحة لخبر اكتشاف أسماك بوجوه تشبه البشر في بحيرة تدعى “سامسارا”,9 فبراير 2024,fake
هذا المقطع يظهر اشتعال النيران في سفينتي نقل غاز عام 2019 في البحر الأسود وليس من استهداف السفينة “مارلين لواندا” مؤخرًا,29 يناير 2024,fake
هذه المشاهد تعود لعام 2021، ولا تظهر ردًّا من الحوثيين على الضربات الأمريكية والبريطانية التي استهدفتهم مؤخرًا,14 يناير 2024,fake
هذا المقطع يظهر احتراق مركب قبالة سواحل سلطنة عُمان، وليس لاستهداف الحوثيين لناقلة نفط بريطانية,31 ديسمبر 2023,fake
هذا المقطع ليس من استهداف السفينة البلغارية، بل يظهر اشتعال النيران في سفينة الشحن ميرسك هونام عام 2018,17 ديسمبر 2023,fake
هذا الفيديو يعود لاحتراق سفينة قرب سواحل سريلانكا عام 2021 وليس للسفينة التي أعلن الحوثيون استهدافها مؤخرًا,5 ديسمبر 2023,fake
هذا الفيديو ليس من المسيرة التضامنية مع غزة في بولندا بل متداول منذ 1 أكتوبر لمسيرة احتجاجية معارضة,23 نوفمبر 2023,fake
هذا الفيديو متداول منذ عام 2014 على الأقل وليس من الصواريخ التي أطلقها حزب الله من جنوب لبنان مؤخرًا,7 نوفمبر 2023,fake
هذا المقطع الذي قيل إنه يظهر أخطبوطًا في مرآب سيارات في قطر غير حقيقي بل معدل رقميًّا,18 أكتوبر 2023,fake
هذه المشاهد تعود للعبة محاكاة عسكرية ولا تظهر إسقاط مقاتلة حربية في غزة حديثًا,9 أكتوبر 2023,fake
هذه الصورة عبارة عن تصميم رقمي، ولا تبين سفينة حقيقية في بحر الآرال,17 سبتمبر 2023,fake
هذا المقطع قديم ومتداول منذ عام 2016، ولا يبين سيولًا في إحدى مناطق ليبيا مؤخرًا,14 سبتمبر 2023,fake
هذه الصور ليست لإصلاحاتٍ قام بها حارس مدرسة في الجزائر مؤخراً,6 سبتمبر 2023,fake
هذه الصورة مفبركة، ولا تظهر طائرة تابعة للخطوط الجوية الحضرمية,26 يوليو 2023,fake
هذا المقطع يبين ظهور قرش في إحدى الشواطئ في إسبانيا وليس في تونس,27 يونيو 2023,fake
هذه الصور من صنع برامج الذكاء الاصطناعي ولا تظهر “تَنانين” صنعتها الصين,18 مايو 2023,fake
هذا المقطع لا يظهر اعترافًا من فايزر بأنها نفذت خديعة الحكومة بلقاحها المضاد لكوفيد-19,11 أبريل 2023,fake
هذه الوثيقة لا تظهر وجود مادة أكسيد الجرافين في لقاح فايزر المضاد لكوفيد 19,30 مارس 2023,fake
لا، لم تصدر الفلبين مذكرة توقيف بحقّ بيل غيتس بسبب لقاحات كوفيد 19,17 مارس 2023,fake
هذا المقطع يعود لعام 2010، ولا يصوّر لحظة سقوط طائرة جزائرية في بوفاريك,5 مارس 2023,fake
هذه الصور قديمة ولا تبين ظهور ما يسمى “الضوء الزلزالي” في سماء سوريا مؤخرًا,21 فبراير 2023,fake
هذا المقطع متداول منذ عام 2022، ولا يبين اعتداءً على وفد النادي الأهلي في المغرب مؤخرًا,14 فبراير 2023,fake
هذا المقطع متداول منذ عام 2018، ولا يبين مشاهد لمسجد في تركيا,10 فبراير 2023,fake
هذا المقطع متداول منذ عام 2017، ولا يبين حدوث تسونامي في تركيا مؤخرًا,7 فبراير 2023,fake
هذا المقطع قديم ولا يظهر شخصًا يُدخل قارورة خمر إلى جوار الكعبة,30 يناير 2023,fake
المشاهد الواردة في هذا المقطع قديمة من أحداث مختلفة، وليست من الجزائر مؤخرًا,21 يناير 2023,fake
هذا المقطع قديم، ولا يظهر حادث تصادمٍ في ليبيا بسبب الأمطار مؤخرًا,14 يناير 2023,fake
هذا المقطع يصور أنثى دبور تجلب فريسة وليس لأنثى دبور تدفن زوجها,8 يناير 2023,fake
